Publication Type,Source Title,Publication Year,Article Title,Abstract,DOI_with_Patent,Author_1,Author_2,Author_3,Author_4,Author_5,Author_6,Author_7,Author_8,Author_9,Author_10,Author_11,Author_12,Author_13,Author_14,Author_15,Author_16
J,JOURNAL OF APPLIED PHYCOLOGY,2023.0,In vitro enzyme inhibitory effects of green and brown Australian seaweeds and potential impact on metabolic syndrome,"Hypertension, type-2-diabetes (T2D) and obesity are contributory risk factors for the development of metabolic syndrome. Peptides, polyphenols and polysaccharides may inhibit enzymes involved in the disease pathways of this disorder. Peptide hydrolysates (PEP), polyphenol (PP) and polysaccharide (PS) extracts generated from the Australian seaweeds Phyllospora comosa (Labillardiere) C. Agardh, Ecklonia radiata (C. Agardh) J. Agardh, and Ulva ohnoi M. Hiraoka & S. Shimada were screened in vitro for their potential to inhibit enzymes important in the control of diseases associated with metabolic syndrome. These enzymes include angiotensin-I-converting enzyme (ACE-1; EC 3.4.15.1) which affects the development of hypertension in mammals, alpha-amylase (EC 3.2.1.1) and lipase (EC 3.1.1.3) which play a role in the development of T2D and dietary lipid absorption, respectively. The inhibitory activity of each seaweed extract was determined using established in vitro colorimetric methods with mammalian-derived enzymes and their respective substrates. The ACE-1 half-maximal inhibitory (IC50) concentrations of generated bioactive extracts ranged from 167.52 +/- 3.17 mu g mL(-1) (U. ohnoi PEP) to 713.84 +/- 12.45 mu g mL(-1) (E. radiata PS). None of the extracts screened displayed IC50 values comparable to the positive control drug Captopril (8.87 +/- 0.04 mu g mL(-1)). IC50 values determined for extracts that inhibited alpha-amylase ranged from 58.31 +/- 1.41 mu g mL(-1) (P. comosa PP) to 515.24 +/- 10.53 mu g mL(-1) (E. radiata PEP). All PS and PP had significantly lower IC50 values than the alpha-amylase inhibitor control, Acarbose (89.90 +/- 0.15 mu g mL(-1)). Lipase IC50 values determined for extracts ranged from 52.14 +/- 2.77 mu g mL(-1) (P. comosa PP) to 876.30 +/- 34.92 mu g mL(-1) (E. radiata PEP). All PP had significantly lower IC50 values than the lipase inhibitory drug Orlistat (70.83 +/- 0.07 mu g mL(-1)). To the authors' knowledge there are no published values for the inhibitory potential of P. comosa, E. radiata or U. ohnoi extracts against the enzymes ACE-1, alpha-amylase, or lipase. These findings demonstrate the functional food potential of P. comosa, E. radiata and U. ohnoi polyphenols, polysaccharides and peptides.",10.1007/s10811-022-02900-1,"Shannon, Emer"," Conlon, Michael"," Hayes, Maria",,,,,,,,,,,,,
P,Patente,,"New PFI-017 protein and polynucleotide encoding the protein, useful for diagnosing or treating metabolic diseases, urogenital disease, immunological disorders, infectious diseases, , neoplastic or myeloproliferative diseases","NOVELTY - Isolated and/or purified polynucleotide (I), encoding a fully defined sequence of 330 (S1), 346 (S2), 993 (S3), or 1041 (S4) amino acids as given in the specification, the complement of which hybridizes to the polynucleotide under moderate stringency, is new. USE - (I) is useful for treating allergic disorders, an inflammatory disorder, an immunological disorder, a pulmonary disorder, an infectious disease, a neoplastic or myeloproliferative disease, or a heart disease. The allergic disorder is an allergic rhinitis or asthma, the pulmonary disease is COPD, and the inflammatory disorder is inflammatory bowel disease.PFI-017 polynucleotide sequences may be used for the diagnosis of diseases resulting from expression of PFI-017, and to detect and quantify gene expression in conditions, disorders or diseases in which PFI-017 activity may be implicated. The nucleotide sequences encoding a PFI-017 receptor provide the basis for probes which can be used diagnostically to detect chromosomal aberrations, such as deletions, mutations, or chromosomal translocations in the gene encoding the PFI-017 receptor. The polypeptides are used to produce anti-PFI-017 antibodies to be used diagnostically to detect and quantify PFI-017 levels in disease states. The antibodies, compounds and compositions which can modulate the peptide can be used in treating obesity, diabetes and metabolic disease, neurological disease, urogenital disease, inflammation, cancer, osteoporosis, cardiovascular disease, gastrointestinal disease, infections, allergy and respiratory disease, sensory organ disorders, sleep disorders, hair loss, immunological disorders, pulmonary diseases, infectious diseases, neoplastic and myeloproliferative diseases, vasculitic granulomatous diseases, and heart diseases. These may also be used in dermatology, and psychotherapeutics. DETAILED DESCRIPTION - Isolated and purified polynucleotide, comprises at least one of the following:(i) a polynucleotide encoding a polypeptide comprising (S1) or (S2);(ii) a polynucleotide encoding a polypeptide comprising (S3) or (S4);(iii) a polynucleotide, the complement of which hybridizes to the full length of coding sequence of (i) or (ii), under moderately stringent conditions;(iv) a polynucleotide comprising the cDNA of deposit NCIMB 41074; and(v) a complement of any of (i) - (iv).INDEPENDENT CLAIMS are also included for the following:(1) a vector comprising (I);(2) a host cell transformed or transfected with the vector, and also expresses the polynucleotide;(3) producing a polypeptide or fragment by culturing the transformed or transfected host cell under conditions allowing the expression of the polypeptide or its fragment;(4) a membrane preparation of the cell of (2);(5) an isolated and/or purified polypeptide or a heterologous polypeptide comprising an amino acid sequence encoded by (I), or the sequence (S1) or (S2);(6) an antibody against a polypeptide encoded by (I);(7) a compound which modulates the activity of a polypeptide encode by (I);(8) pharmaceutical compositions comprising the antibody of (6) or a compound of (7);(9) treating a patient by administering the antibody of (6) or compound of (7);(10) an animal cell genetically modified to increase expression of (I), and/or comprising a functionally disrupted endogenous gene encoding a polypeptide of (5);(11) identifying a compound of (7) by contacting the polypeptide with a candidate compound and determining whether modulation occurs; and(12) a microorganism as deposited under accession number NCIMB 41074 at the National Collections of Industrial and Marine Bacteria Ltd.",US2001039037-A1; EP1158050-A1; JP2002017378-A; JP3694246-B2; EP1158050-B1; DE60112994-E; ES2247017-T3; DE60112994-T2,HARLAND L,,,,,,,,,,,,,,,
J,MARINE DRUGS,2019.0,Identifying Phlorofucofuroeckol-A as a Dual Inhibitor of Amyloid-β25-35 Self-Aggregation and Insulin Glycation: Elucidation of the Molecular Mechanism of Action,"Both amyloid-beta (A beta) and insulin are amyloidogenic peptides, and they play a critical role in Alzheimer's disease (AD) and type-2 diabetes (T2D). Misfolded or aggregated A beta and glycated insulin are commonly found in AD and T2D patients, respectively, and exhibit neurotoxicity and oxidative stress. The present study examined the anti-A beta(25-35) aggregation and anti-insulin glycation activities of five phlorotannins isolated from Ecklonia stolonifera. Thioflavin-T assay results suggest that eckol, dioxinodehydroeckol, dieckol, and phlorofucofuroeckol-A (PFFA) significantly inhibit A beta(25-35) self-assembly. Molecular docking and dynamic simulation analyses confirmed that these phlorotannins have a strong potential to interact with A beta(25-35) peptides and interrupt their self-assembly and conformational transformation, thereby inhibiting A beta(25-35) aggregation. In addition, PFFA dose-dependently inhibited d-ribose and d-glucose induced non-enzymatic insulin glycation. To understand the molecular mechanism for insulin glycation and its inhibition, we predicted the binding site of PFFA in insulin via computational analysis. Interestingly, PFFA strongly interacted with the Phe1 in insulin chain-B, and this interaction could block d-glucose access to the glycation site of insulin. Taken together, our novel findings suggest that phlorofucofuroeckol-A could be a new scaffold for AD treatment by inhibiting the formation of beta-sheet rich structures in A beta(25-35) and advanced glycation end-products (AGEs) in insulin.",10.3390/md17110600,"Seong, Su Hui"," Paudel, Pradeep"," Jung, Hyun Ah"," Choi, Jae Sue",,,,,,,,,,,,
J,ENZYME AND MICROBIAL TECHNOLOGY,2007.0,Screening of inhibitors of porcine dipeptidyl peptidase IV activity in aqueous extracts from marine organisms,"Dipeptidyl peptidase IV (DPPIV, EC 3.4.14.5) hydrolyses biologically active peptides that control critical functions. For example, action of glucagons-like peptide 1, an hormone that plays multiple roles in metabolic homeostasis and a potential agent for the treatment of type 2 diabetes mellitus is diminished by its susceptibility to DPPIV activity. The goal of this work was to the search for DPPIV inhibitory activity in the Caribbean marine fauna. The screening was done in aqueous crude extracts of species belonging to phyla Cnidaria, Mollusca, Annelida, Echinodermata, Poriphera, Chordata, Chlorophycota and Chlorophyta collected on the Northern coast of Havana (Cuba). An inhibitory activity was found in extracts of three species belonging to phyla Poriphera and Cnidaria: the sponge Xetospongia muta and the sea anemones Bunodosoma granulifera and Bartholomea annulata. The crude extracts from these species were treated with 2.5% final concentration of trichloroacetic acid (TCA) or with heat (60 degrees C, 10 min). Both treatments increased inhibitory activity in X. muta but failed in B. granulifera and B. annulata extracts. Preliminary characterization indicated that in each case the effect on DPPIV activity is dose-dependent, the inhibition is slow and the molecule responsible for DPPIV inhibition has a low molecular weight. The present contribution shows that the detected species are promising sources of DPPIV natural inhibitors with potential therapeutic applications (c) 2006 Elsevier Inc. All rights reserved.",10.1016/j.enzmictec.2006.07.012,"Pascual, Isel"," Lopez, Ali"," Gomez, Hansel"," Chappe, Mae"," Saroyan, Angelika"," Gonzalez, Yamile"," Cisneros, Miguel"," Charli, Jean Louis"," de los Angeles Chavez, Maria",,,,,,,
J,BIOTECHNOLOGY AND BIOENGINEERING,2010.0,Motif-Based Search for a Novel Fructosyl Peptide Oxidase From Genome Databases,"The measurement of glycated hemoglobin A1c (HbA1c) has important implications for diagnosis of diabetes and assessment of treatment effectiveness. We proposed specific sequence motifs to identify enzymes that oxidize glycated compounds from genome database searches. The gene encoding a putative fructosyl amino acid oxidase was found in the Phaeosphaeria nodorum SN15 genome and successfully expressed in Escherichia coli. The recombinant protein (XP_001798711) was confirmed to be a novel fructosyl peptide oxidase (FPOX) with high specificity for a-glycated compounds, such as HbA1c model compounds fructosyl-N-alpha-valine (f-(alpha)Val) and fructosyl-N-alpha-valyl-histidine (f-(alpha)Val-His). Unlike previously reported FPOXs, the P. nodorum FPOX has a K-m value for f-(alpha)Val-His (0.185 mM) that is considerably lower than that for f-(alpha)Val (0.458 mM). Based on amino acid sequence alignment, three dimensional structural modeling, and site-directed mutagenesis, Gly60 was found to be a determining residue for the activity towards f-(alpha)Val-His. A flexible surface loop region was also found to likely play an important role in accepting f-(alpha)Val-His. Biotechnol. Bioeng. 2010;106: 358-366. (C) 2010 Wiley Periodicals, Inc.",10.1002/bit.22710,"Kim, Seungsu"," Ferri, Stefano"," Tsugawa, Wakako"," Mori, Kazushige"," Sode, Koji",,,,,,,,,,,
J,VETERINARY WORLD,2024.0,Combination of curcuminoid and collagen marine peptides for healing diabetic wounds infected by methicillin-resistant Staphylococcus aureus,"Background and Aim: The high prevalence of diabetes mellitus in Indonesia indirectly reflects the high risk of developing chronic wounds that are susceptible to infection. Methicillin-resistant Staphylococcus aureus (MRSA) is an infectious pathogen that is resistant to various antibiotics. Therefore, antibiotic therapy is ineffective enough to treat chronic hyperglycemic wounds caused by MRSA infection. Curcuminoids have anti-inflammatory and antibacterial effects by inhibiting the enzymatic pathways involved in the pathogenesis of inflammation. Collagen is a tissue regeneration inducer. The combination of these two ingredients is expected to be an alternative therapy for MRSA-infected hyperglycemic chronic wounds without the risk of antibiotic resistance. The aim of this study was to investigate the efficacy of hydrolacingel in wound healing and inhibiting the growth of MRSA bacteria, as well as to determine the optimal concentration of curcuminoids combined with collagen marine peptides (CMPs). Materials and Methods: Hydrolacin-gels were prepared by homogenizing curcuminoid nanoemulsions and CMPs. The evaluation of preparation includes stability tests and antibacterial activity tests. Wound diabetic mice were treated with various combinations of curcuminoid and CMPs. Wound healing was observed based on malondialdehyde levels as a marker of oxidative stress and histopathological changes in the skin wound. Results: Hydrolacin-gel was formulated by combining curcuminoid nanoemulsion (more water soluble) and CMPs, with the ratio of formula 1 (1:2, curcuminoid 43.3 mg and CMPs 5.58 mg), formula 2 (1:1, curcuminoid 86.8 mg and CMPs 3.72), and formula 3 (2:1, curcuminoid 130.2 mg and CMPs 1.87 mg) calculated based on the effective dose of curcuminoid 200 mg/kg body weight (BW) and CAMPs 0.9 g/kg BW. Hydrolacin-gel had a potential antibacterial activity against MRSA. Hydrolacin-gel induced wound tissue repair and reduced oxidative stress caused by inflammation in diabeticinfected MRSA. Hydrolacin-gel could be used for healing MRSA-infected diabetic wounds, especially formula 3 with the ratio of curcuminoid: CMPs = 2:1. Conclusion: Hydrolacin-gel combining curcuminoid nanoemulsion and CMPs effectively inhibited the inflammatory process and increased re-epithelialization in MRSA-infected diabetic wound healing. Hydrolacin-gel with curcuminoid (130.2 mg) and CMPs (1.87 mg) at a concentration ratio of 2:1 appeared to be the best formula against MRSA infection in diabetic wounds.",10.14202/vetworld.2024.933-939,"Mustofa, Dwi Ardyan Syah"," Sahari, Farhan Dio"," Pramudani, Syifa Aulia"," Hidayah, Alifia Brilliani"," Tsany, Shabrina Farras"," Salasia, Siti Isrina Oktavia",,,,,,,,,,
J,JOURNAL OF THE SCIENCE OF FOOD AND AGRICULTURE,2015.0,In vitro assessment of the multifunctional bioactive potential of Alaska pollock skin collagen following simulated gastrointestinal digestion,"BACKGROUNDDietary mineral deficiency, hypertension and diabetes have become serious human health problems. Dietary approaches are increasingly being investigated to address these issues. Identification of food-derived biological peptides has become an important approach to control such diseases. Peptides generated from aquatic byproducts have been shown to possess biological activities.RESULTSSignificantly higher copper-chelating activity was observed on simulated hydrolysis of intact collagen. The collagen hydrolysate generated in the gastric stage exhibited moderate angiotensin-converting enzyme (ACE)-inhibitory activity with an IC50 value of 2.920.22mgmL(-1), which significantly decreased to 0.49 +/- 0.02mgmL(-1) after intestinal digestion. The dipeptidyl peptidase (DPP) IV-inhibitory potency of the collagen hydrolysate generated directly following simulated gastrointestinal digestion (SGID) (IC50 2.59 +/- 0.04mgmL(-1)) was significantly lower than that of the collagen tryptic hydrolysate (CTH) (IC50 1.53 +/- 0.01mgmL(-1)). The antioxidant activities of collagen and CTH using the ferric-reducing antioxidant power (FRAP) assay were 0.87 +/- 0.10 and 1.27 +/- 0.03 mu mol Trolox equivalent (TE) g(-1) respectively after SGID.CONCLUSION This study identifies collagen as a good and inexpensive substrate for the generation of biologically active peptides with potential applications as functional ingredients in the management of chronic illness and mineral deficiency problems. (c) 2014 Society of Chemical Industry",10.1002/jsfa.6854,"Guo, Lidong"," Harnedy, Padraigin A."," Zhang, Li"," Li, Bafang"," Zhang, Zhaohui"," Hou, Hu"," Zhao, Xue"," FitzGerald, Richard J.",,,,,,,,
J,LIFE SCIENCES,2012.0,Modulation of TRPV1-dependent contractility of normal and diabetic bladder smooth muscle by analgesic toxins from sea anemone Heteractis crispa,"Aims: TRPV1-expressing, capsaicin (CAP)-sensitive afferent fibers innervating bladder in addition to sensory function also exhibit efferent features consisting in TRPV1-dependent release of tachykinins (TAC) affecting detrusor smooth muscle (DSM) contractions. Our aim was to investigate the effects of two novel polypeptide inhibitors of TRPV1 from the venom of tropical sea anemone Heteractis crispa, APHC1 and APHC3, on the contractions of DSM from bladders of normal and diabetic rats.Main methods: Experiments were conducted on urothelium-devoid DSM strips from normal rats and rats 8 weeks after streptozotocin-induced diabetes by means of contraction force measurements.Key findings: Pre-exposure of DSM strips to APHC1 or APHC3 (200 nM) specifically inhibited CAP-induced, TRPV1-dependent contractions. Both peptides also transiently enhanced basal tone and spontaneous contractions of DSM strips followed by delayed suppression of electric field stimulation (EFS)-evoked nonadrenergic-noncholinergic (NANC) contractions. The decrease of the amplitude of EFS-evoked NANC contractions by APHC1 or APHC3 reached 38.5 +/- 3.4% and 25.1 +/- 1.6%, respectively, in normal DSM strips and 46.3 +/- 3.3% and 43.9 +/- 1.8%, respectively, in diabetic ones. APHC-peptide-induced transient enhancement of basal tone could be mimicked by serine protease inhibitor, 4-(2-aminoethyl)bezenesulfonyl fluoride (300 mu M).Significance: Our results demonstrate that APHC1 and APHC3 may be considered as effective inhibitors of bladder contractility especially during diabetic cystopathy. Modality of action of APHC-polypeptides via the mechanisms involving decreased TRPV1-dependent release of TAC from bladder afferents and suppression of TAC degradation due to their activity as endogenous proteases inhibitors is proposed. (C) 2012 Elsevier Inc. All rights reserved.",10.1016/j.lfs.2012.09.001,"Philyppov, Igor B."," Paduraru, Oksana N."," Andreev, Yaroslav A."," Grishin, Eugene V."," Shuba, Yaroslav M.",,,,,,,,,,,
J,MARINE DRUGS,2019.0,Antihypertensive and Angiotensin-I-Converting Enzyme (ACE)-Inhibitory Peptides from Fish as Potential Cardioprotective Compounds,"The term metabolic/cardiometabolic/insulin resistance syndrome could generally be defined as the co-occurrence of several risk factors inclusive of systemic arterial hypertension. Not only that organizations, such as the world health organization (WHO) have identified high blood pressure as one of the main risk factors of the cardiometabolic syndrome, but there is also a link between the occurrence of insulin resistance/impaired glucose tolerance and hypertension that would consequently lead to type-2 diabetes (T2D). Hypertension is medicated by various classes of synthetic drugs; however, severe or mild adverse effects have been repeatedly reported. To avoid and reduce these adverse effects, natural alternatives, such as bioactive peptides derived from different sources have drawn the attention of researchers. Among all types of biologically active peptides inclusive of marine-derived ones, this paper's focus would solely be on fish and fishery by-processes' extracted peptides and products. Isolation and fractionation processes of these products alongside their structural, compositional and digestion stability characteristics have likewise been briefly discussed to better address the structure-activity relationship, expanding the reader's knowledge on research and discovery trend of fish antihypertensive biopeptides. Furthermore, drug-likeness of selected biopeptides was predicted by Lipinski's rules to differentiate a drug-like biopeptide from nondrug-like one.",10.3390/md17110613,"Abachi, Soheila"," Bazinet, Laurent"," Beaulieu, Lucie",,,,,,,,,,,,,
J,3 BIOTECH,2023.0,A comprehensive review on algal nutraceuticals as prospective therapeutic agent for different diseases,"Ongoing research in the food supplement sector provides insightful information regarding algae as a new-generation nutritional supplement and is also referred to as a superfood. Due to the diverse nutritional components, algae have documented numerous health benefits like fighting microbial diseases, hypertension, obesity, and diabetes. Therefore, algae-derived nutraceuticals account for a rapidly expanding market in the food supplements sector. The concept of algal prebiotics and their role in modulating gut microbiota have also been a chief contributor to this. This review evaluates the use of possible algal species and their specific bioactive compounds for the management of several chronic diseases. Proteins, peptides, polysaccharides, phenolics, and vitamins give an insight into the significance of algae in boosting the immune system and improving the body's nutritional makeup. In addition, phyco-compounds such as polysaccharides and polyphenols are also receiving a lot more interest in cosmeceutical applications for protecting skin from photodamage. The incorporation of algae in the diet for the management and prevention of chronic diseases like cancer, lung, and heart disease has been discussed in this review along with their action mechanism. This review provides a brief overview of several bioactive compounds present in micro and macroalgae and their therapeutic effect on lifestyle diseases, gastrointestinal diseases as well as neurodegenerative diseases.",10.1007/s13205-022-03454-2,"Kumari, Asmita", Garima," Bharadvaja, Navneeta",,,,,,,,,,,,,
S,AQUACULTURE AND BY-PRODUCTS: Challenges and Opportunities in the Use of Alternative Protein Sources and Bioactive Compounds,2020.0,Aquaculture and by-products: Challenges and opportunities in the use of alternative protein sources and bioactive compounds,"There is a growing concern about chronic diseases such as obesity, diabetes, hypertension, hypercholesterolemia, cancer and cardiovascular diseases resulting from profound changes in the western lifestyle. Aquaculture by-products are generated in large quantities and they can be profitably recycled through their bioactive compounds used for health or food supplements. Improving waste utilization in the field of aquaculture is essential for a sustainable industry to prevent or minimize the environmental impact. In this sense fish by-products are a great source of protein and omega-3 polyunsaturated fatty acids which are particularly studied on Atlantic salmon or rainbow trout. Fish protein hydrolysate (FPH) obtained from chemical, enzymatical and microbial hydrolysis of processing by-products are being used as a source of amino acids and peptides with high digestibility, fast absorption and important biological activities. Omega-3 polyunsaturated fatty acids, eicosapentaenoic (EPA) and docosahexaenoic (DHA) from fish discards have been reported to decrease postprandial triacylglycerol levels, reduction of blood pressure, platelet aggregation and the inflammatory response. Crustacean by-products can also be used to produce chitosan with antioxidant and antimicrobial activity for food and pharmaceutical industries and carotenoids with important biological activity. Seaweeds are rich in bioactive compounds such as alginate, carrageenan, agar, carotenoids and polyphenols with different biological activities such as antioxidant, anticancer, antidiabetic, antimicrobial or anti-inflammatory activity. Finally, regarding harvest microalgae, during the past decades, they were mainly used in the healthy food market, with >75% of the annual microalgal biomass production, used for the manufacture of powders, tablets, capsules or pills. We will report and discuss the present and future role of aquaculture by-products as sources of biomolecules for the design and development of functional foods/beverages. This chapter will focus on the main bioactive compounds from aquaculture by-products as functional compounds in food and their applications in biomedicine for the prevention and treatment of diseases.",10.1016/bs.afnr.2019.11.001,"Lopez-Pedrouso, Maria"," Lorenzo, Josee M."," Cantalapiedra, Jesus"," Zapata, Carlos"," Franco, Jose M."," Franco, Daniel",,,,,,,,,,
J,CHEMISTRY-A EUROPEAN JOURNAL,2024.0,Inhibition of Lysosomal Cathepsin A and Neuraminidase 1 Interaction by Anti-Obesity Cyclic Peptide,"Chronic inflammation in adipose tissue is associated with metabolic disorders such as obesity and type 2 diabetes. Novel small molecules targeting adipocyte differentiation and fat accumulation offer potential for new anti-inflammatory and anti-obesity drugs. Here we show that the marine cyclic heptapeptide stylissatin A and its analogs (SAs) inhibit membranous neuraminidase 1 (Neu1) function by interacting with lysosomal protective protein cathepsin A (PPCA). Neu1 has been less explored as a therapeutic target due to the genetic defects leading to neurodegenerative disorders. However, unlike traditional neuraminidase inhibitors, SAs don't directly bind to Neu1 but modulate the molecular chaperone activity of PPCA. SAs caused degradation of perilipin 1 around lipid droplets and inhibited fat accumulation, along with decrease in membranous Neu1. Molecular docking and molecular dynamics simulations revealed that SAs interacted with activated PPCA at the Neu1 binding site. Focusing on this newfound protein-protein interaction inhibition mechanism could lead to the development of pharmaceuticals with fewer side effects.Stylissatin A and its analogs are shown to inhibit the interaction between mature protective protein cathepsin A and neuraminidase 1 in lysosomes, which caused irregular proteolysis of perilipin 1 around lipid droplets and inhibited fat accumulation in adipocytes. This PPI-modulating effect is promising to develop anti-inflammatory and anti-obesity drug leads. image",10.1002/chem.202402049,"Sun, Yiting"," Dakiiwa, Ayumi"," Zhang, Menghua"," Shibata, Takahiro"," Kita, Masaki",,,,,,,,,,,
J,REVIEWS IN FISHERIES SCIENCE & AQUACULTURE,2023.0,Annotated Bibliography of Selected Papers Dealing with the Health Benefits and Risks of Fish and Seafood Consumption,"A descriptive annotated bibliography is presented of recent selected publications dealing with the reported health benefits and risks of fish and seafood consumption; fish and seafood including farmed and wild-caught finfish, crustaceans, mollusks, and seaweeds. The bibliography is presented in four parts, namely (1) review papers dealing with both the health benefits and risks of fish and seafood consumption, (2) specific papers dealing with health benefits related to: antioxidants; bone health; brain and mental health; cancer prevention; diabetes prevention; elderly and senior adults; fermentation; heart health and hypertension; immune response and allergies; infant and child health; lipids, fatty acids and sterols; minerals and trace elements; obesity and overweight reduction; polysaccharides; pregnancy and gestational health; proteins, peptides and amino acids; and vitamins and bioactive compounds; (3) specific papers dealing with health risks related to: algal blooms and shellfish biotoxins; antibiotics use and residues; cancer risks; chemicals; chronic kidney disease; microbial quality and safety; microplastics; minerals and heavy metals; parasites and pathogens; pesticides and persistent organic pollutants; public perception and media; seafood allergy; and smoking risks; and (4) supporting papers dealing with consumption advisories and dietary guidelines; improved decontamination and processing methods; and fish, food and nutrient security. A total of 552 papers are presented together with their annotated summaries. On the basis of the papers presented in this review, it is believed that the higher nutritional value and health benefits derived from increased fish and seafood consumption far out-way the potential negative risks to human health, and as such fish and seafood represent a valuable and much healthier alternative than processed fast-foods and many terrestrial animal food products in the global fight against heart disease and related health ailments.",10.1080/23308249.2023.2238821,"Tacon, Albert G. J."," Coelho, Rafael T. I."," Levy, Jessica"," Machado, Thais M."," Neiva, Cristiane R. P."," Lemos, Daniel",,,,,,,,,,
J,JOURNAL OF ENVIRONMENTAL MANAGEMENT,2024.0,Process optimization and characterization of hydrolysate from underutilized brown macroalgae (Padina tetrastromatica) after fucoidan extraction through subcritical water hydrolysis,"The growing demand for macroalgal biomass as a source of proteins, peptides, and amino acids is garnering attention for their biological and functional properties. This study depicts the use of emerging green techniques, i.e. subcritical water, to hydrolyze protein from Padina tetrastromatica. The biomass was treated with subcritical water at varying temperatures between 100 and 220 degrees C for 10-40 min at a biomass to water proportion of 1:50 (w/v) and pressure of 4.0 MPa. The optimum conditions for recovering the maximum protein (127.2 +/- 1.1 mg g(-1)), free amino acids (58.4 +/- 1.0 mg g(-1)), highest degree of hydrolysis (58.8 +/- 1.2 %) and low molecular weight peptides (<650 Da) were found to be 220 degrees C for 10 min. The amino acid profiling of the hydrolysate revealed that it contains 45 % essential amino acids, with the highest concentration of methionine (0.18 %), isoleucine (0.12 %) and leucine (0.10 %). It was found that the hydrolysate contains phenolics (23.9 +/- 1.4 mg GAE g(-1)) and flavonoids (1.23 +/- 0.1 mg QE g(-1)), which are largely responsible for antioxidant activity. The hydrolysate effectively inhibits acetylcholinesterase and alpha-amylase in vitro, with IC50 values of 17.9 +/- 0.1 mg mL(-1) and 16.0 +/- 0.5 %, respectively, which can help prevent Alzheimer's disease and diabetes mellitus. Consequently, this study reveals that utilizing eco-friendly subcritical water hydrolysis method, 79 % of the protein was recovered from P. tetrastromatica, which might be an effective source of bioactive peptides in various nutraceutical, pharmaceutical and cosmeceutical applications.",10.1016/j.jenvman.2023.119497,"Hans, Nidhi"," Solanki, Divyang"," Nagpal, Tanya"," Amir, Hirah"," Naik, Satyanarayan"," Malik, Anushree",,,,,,,,,,
J,MARINE DRUGS,2023.0,Astaxanthin: A Marine Drug That Ameliorates Cerebrovascular-Damage-Associated Alzheimer's Disease in a Zebrafish Model via the Inhibition of Matrix Metalloprotease-13,"Alzheimer's disease (AD) is a major type of dementia disorder. Common cognitive changes occur as a result of cerebrovascular damage (CVD) via the disruption of matrix metalloproteinase-13 (MMP-13). In diabetic cases, the progress of vascular dementia is faster and the AD rate is higher. Patients with type 2 diabetes are known to have a higher risk of the factor for AD progression. Hence, this study is designed to investigate the role of astaxanthin (AST) in CVD-associated AD in zebrafish via the inhibition of MMP-13 activity. CVD was developed through the intraperitoneal and intracerebral injection of streptozotocin (STZ). The AST (10 and 20 mg/L), donepezil (1 mg/L), and MMP-13 inhibitor (i.e., CL-82198; 10 mu M) were exposed for 21 consecutive days in CVD animals. The cognitive changes in zebrafish were evaluated through light and dark chamber tests, a color recognition test, and a T-maze test. The biomarkers of AD pathology were assessed via the estimation of the cerebral extravasation of Evans blue, tissue nitrite, amyloid beta-peptide aggregation, MMP13 activity, and acetylcholinesterase activity. The results revealed that exposure to AST leads to ameliorative behavioral and biochemical changes. Hence, AST can be used for the management of AD due to its multi-targeted actions, including MMP-13 inhibition.",10.3390/md21080433,"Paramakrishnan, Nallupillai"," Lim, Khian Giap"," Paramaswaran, Yamunna"," Ali, Nemat"," Waseem, Mohammad"," Shazly, Gamal A."," Bin Jardan, Yousef A."," Muthuraman, Arunachalam",,,,,,,,
J,MARINE DRUGS,2022.0,An Octopus-Derived Peptide with Antidiuretic Activity in Rats,"Discovering new drug candidates with high efficacy and few side effects is a major challenge in new drug development. The two evolutionarily related peptides oxytocin (OXT) and arginine vasopressin (AVP) are known to be associated with a variety of physiological and psychological processes via the association of OXT with three types of AVP receptors. Over decades, many synthetic analogs of these peptides have been designed and tested for therapeutic applications; however, only a few studies of their natural analogs have been performed. In this study, we investigated the bioactivity and usefulness of two natural OXT/AVP analogs that originate from the marine invertebrate Octopus vulgaris, named octopressin (OTP) and cephalotocin (CPT). By measuring the intracellular Ca2+ or cyclic AMP increase in each OXT/AVP receptor subtype-overexpressing cell, we found that CPT, but not OTP, acts as a selective agonist of human AVP type 1b and 2 receptors. This behavior is reminiscent of desmopressin, the most widely prescribed antidiuretic drug in the world. Similar to the case for desmopressin, a single intravenous tail injection of CPT into Sprague-Dawley rats reduced urine output and increased urinary osmolality. In conclusion, we suggest that CPT has a significant antidiuretic effect and that CPT might be beneficial for treating urological conditions such as nocturia, enuresis, and diabetes insipidus.",10.3390/md20050328,"Kim, Ye-Ji"," Lee, Jei Ha"," Jung, Seung-Hyun"," Kim, Ki Hyun"," Choi, Chang-Hoon"," Jo, Seonmi"," Woo, Dong Ho",,,,,,,,,
