Journal,Year,Title,Abstract,DOI,Document Type,Data_Set,Author_1,Author_2,Author_3,Author_4,Author_5,Author_6,Author_7,Author_8,Author_9,Author_10,Author_11,Author_12,Author_13,Author_14,Author_15,Author_16,Author_17,Author_18,Author_19,Author_20,Author_21,Author_22,Author_23,Author_24,Author_25,Author_26,Author_27,Author_28,Author_29,Author_30
Nutrition and diabetes,2014,Fatty fish consumption and risk of latent autoimmune diabetes in adults,"OBJECTIVE: It has been suggested that intake of fatty fish may protect against both type 1 and type 2 diabetes. Hypotheses rest on the high marine omega-3 fatty acid eicosapentaenoic acid+docosahexaenoic acid (EPA+DHA) and vitamin D contents, with possible beneficial effects on immune function and glucose metabolism. Our aim was to investigate, for the first time, fatty fish consumption in relation to the risk of latent autoimmune diabetes in adults (LADA). METHODS: Analyses were based on data from a Swedish case-control study with incident cases of LADA (n = 89) and type 2 diabetes (n = 462) and randomly selected diabetes-free controls (n = 1007). Diabetes classification was based on the onset of age (>35), glutamic acid decarboxylase autoantibodies, and C-peptide. A validated food frequency questionnaire was used to derive information on previous intake of fish, polyunsaturated long-chain omega-3 fatty acids (n-3 PUFA) and supplementation of fish oil and vitamin D. Odds ratios (ORs) with 95% confidence intervals (CIs) were calculated using logistic regression, adjusted for age, gender, body mass index (BMI), family history of diabetes, physical activity, smoking, education, and consumption of alcohol, fruit, vegetables and red meat. RESULTS: Weekly fatty fish consumption (>1 vs o1 serving per week), was associated with a reduced risk of LADA but not type 2 diabetes (OR 0.51, 95% CI 0.30-0.87, and 1.01, 95% CI 0.74-1.39, respectively). Similar associations were seen for estimated intake of n-3 PUFA (>0.3 g per day; LADA: OR 0.60, 95% CI 0.35-1.03, type 2 diabetes: OR 1.14, 95% CI 0.79-1.58) and fish oil supplementation (LADA: OR 0.47, 95% CI 0.19-1.12, type 2 diabetes: OR 1.58, 95% CI 1.08-2.31). CONCLUSIONS: Our findings suggest that fatty fish consumption may reduce the risk of LADA, possibly through effects of marineoriginated omega-3 fatty acids. © 2014 Macmillan Publishers Limited All rights reserved.",10.1038/nutd.2014.36,article,SCOPUS,"Löfvenborg, J.E.","Andersson, T.","Carlsson, P.O.","Dorkhan, M.","Groop, L.","Martinell, M.","Tuomi, T.","Wolk, A.","Carlsson, S.",,,,,,,,,,,,,,,,,,,,,
Marine proteins and peptides: biological activities and applications,2013,"Bioactive Proteins and Peptides from Macroalgae, Fish, Shellfish and Marine Processing Waste","Macroalgal, fish and shellfish proteins represent a vast resource for the mining of novel biofunctional peptides with specific or multifunctional activity. Enzymatic hydrolysis of macroalgal, fish and shellfish processing waste proteins with proteolytic preparations from plant, animal or microbial sources has the capability to release an array of peptides with potential biofunctional properties in a highly controlled environment. A growing body of scientific evidence demonstrates that many marine-derived protein hydrolysates and peptides, including macroalgal, fish and shellfish processing waste byproducts, may play a role in the prevention and management of certain chronic diseases, such as cardiovascular disease (CVD), diabetes, cancer and obesity-related chronic conditions, and thus can be used as functional food ingredients. Finally, marketing of bioactive health-promoting functional ingredients requires scientific validation before a health claim can be made with European Food Safety Authority (EFSA), Food and Drug Administration (FDA) and Foods for Specified Health Use (FOSHU) approval. © 2013 John Wiley & Sons, Ltd.",10.1002/9781118375082.ch2,chapter,SCOPUS,"Harnedy, Pádraigín A.","Fitzgerald, Richard J.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
American journal of the medical sciences,2010,Therapeutic effects of marine collagen peptides on Chinese patients with type 2 diabetes mellitus and primary hypertension,"Marine collagen peptides (MCPs) from deep sea fish are shown to ameliorate hyperlipidemia in animal models. The study aimed at examining the effects of MCPs on glucose and lipid metabolism in Chinese patients with type 2 diabetes mellitus (T2DM) and primary hypertension. Methods: One hundred patients with T2DM and primary hypertension and 50 healthy subjects (normal controls) were recruited for a randomized double blind study. The patients were randomized into MCPs treatment or patient control groups (n = 50 per group). Both patient controls and normal controls were given carboxymethylcellulose twice daily whereas the MCPs treatment group was given MCPs twice daily for 3 months. Blood pressure, glucose and lipid metabolism, serum high-sensitivity C-reactive protein, cytochrome P450, nitric oxide, bradykinin, prostacyclin, creatinine, uric acid and adipokines were measured at baseline, 1.5 and 3 months after treatment. All patients received regular medicines for control of hyperglycemia and hypertension. Results: Compared with patient controls, significantly reduced levels of fasting blood glucose, HbA1c, diastolic blood pressure, mean arterial pressure and creatinine but increased levels of Insulin Sensitivity Index and Insulin Secretion Index were observed in patients receiving MCPs treatment. Furthermore, significantly reduced levels of serum triglycerides, total cholesterol, low-density lipoprotein, free fatty acids, cytochrome P450, nitric oxide and prostacyclin but increased levels of high-density lipoprotein, bradykinin and adiponectin were detected in patients taking MCPs. Conclusions: MCPs supplement may benefit glucose and lipid metabolism, insulin sensitivity, renal function and hypertension management in Chinese patients with T2DM and hypertension. © 2010 Lippincott Williams & Wilkins.",10.1097/MAJ.0b013e3181edfcf2,article,SCOPUS,"Zhu, Cui-Feng","Li, Guan-Zhi","Peng, Hong-Bin","Zhang, Fan","Chen, Yun","Li, Yong",,,,,,,,,,,,,,,,,,,,,,,,
Marine drugs,2012,Marine bioactives: Pharmacological properties and potential applications against inflammatory diseases,"Inflammation is a hot topic in medical research, because it plays a key role in inflammatory diseases: rheumatoid arthritis (RA) and other forms of arthritis, diabetes, heart diseases, irritable bowel syndrome, Alzheimer's disease, Parkinson's disease, allergies, asthma, even cancer and many others. Over the past few decades, it was realized that the process of inflammation is virtually the same in different disorders, and a better understanding of inflammation may lead to better treatments for numerous diseases. Inflammation is the activation of the immune system in response to infection, irritation, or injury, with an influx of white blood cells, redness, heat, swelling, pain, and dysfunction of the organs involved. Although the pathophysiological basis of these conditions is not yet fully understood, reactive oxygen species (ROS) have often been implicated in their pathogenesis. In fact, in inflammatory diseases the antioxidant defense system is compromised, as evidenced by increased markers of oxidative stress, and decreased levels of protective antioxidant enzymes in patients with rheumatoid arthritis (RA). An enriched diet containing antioxidants, such as vitamin E, vitamin C, β-carotene and phenolic substances, has been suggested to improve symptoms by reducing disease-related oxidative stress. In this respect, the marine world represents a largely untapped reserve of bioactive ingredients, and considerable potential exists for exploitation of these bioactives as functional food ingredients. Substances such as n-3 oils, carotenoids, vitamins, minerals and peptides provide a myriad of health benefits, including reduction of cardiovascular diseases, anticarcinogenic and anti-inflammatory activities. New marine bioactives are recently gaining attention, since they could be helpful in combating chronic inflammatory degenerative conditions. The aim of this review is to examine the published studies concerning the potential pharmacological properties and application of many marine bioactives against inflammatory diseases. © 2012 by the authors; licensee MDPI.",10.3390/md10040812,review,SCOPUS,"D'Orazio, Nicolantonio","Gammone, Maria Alessandra","Gemello, Eugenio","De Girolamo, Massimo","Cusenza, Salvatore","Riccioni, Graziano",,,,,,,,,,,,,,,,,,,,,,,,
Life sciences,2012,Modulation of TRPV1-dependent contractility of normal and diabetic bladder smooth muscle by analgesic toxins from sea anemone Heteractis crispa,"Aims: TRPV1-expressing, capsaicin (CAP)-sensitive afferent fibers innervating bladder in addition to sensory function also exhibit efferent features consisting in TRPV1-dependent release of tachykinins (TAC) affecting detrusor smooth muscle (DSM) contractions. Our aim was to investigate the effects of two novel polypeptide inhibitors of TRPV1 from the venom of tropical sea anemone Heteractis crispa, APHC1 and APHC3, on the contractions of DSM from bladders of normal and diabetic rats. Main methods: Experiments were conducted on urothelium-devoid DSM strips from normal rats and rats 8 weeks after streptozotocin-induced diabetes by means of contraction force measurements. Key findings: Pre-exposure of DSM strips to APHC1 or APHC3 (200 nM) specifically inhibited CAP-induced, TRPV1-dependent contractions. Both peptides also transiently enhanced basal tone and spontaneous contractions of DSM strips followed by delayed suppression of electric field stimulation (EFS)-evoked nonadrenergic-noncholinergic (NANC) contractions. The decrease of the amplitude of EFS-evoked NANC contractions by APHC1 or APHC3 reached 38.5 ± 3.4% and 25.1 ± 1.6%, respectively, in normal DSM strips and 46.3 ± 3.3% and 43.9 ± 1.8%, respectively, in diabetic ones. APHC-peptide-induced transient enhancement of basal tone could be mimicked by serine protease inhibitor, 4-(2-aminoethyl)bezenesulfonyl fluoride (300 μM). Significance: Our results demonstrate that APHC1 and APHC3 may be considered as effective inhibitors of bladder contractility especially during diabetic cystopathy. Modality of action of APHC-polypeptides via the mechanisms involving decreased TRPV1-dependent release of TAC from bladder afferents and suppression of TAC degradation due to their activity as endogenous proteases inhibitors is proposed. © 2012 Elsevier Inc. All rights reserved.",10.1016/j.lfs.2012.09.001,article,SCOPUS,"Philyppov, Igor B.","Paduraru, Oksana N.","Andreev, Yaroslav A.","Grishin, Eugene V.","Shuba, Yaroslav M.",,,,,,,,,,,,,,,,,,,,,,,,,
Enzyme and microbial technology,1998,"Fluorescent measurement of 1,5-anhydro-D-glucitol based on a novel marine bacterial glucose dehydrogenase","A novel glucose dehydrogenase (GDH) which reacts with 1,5-anhydro-D-glucitol (1,5AG), a clinical marker of diabetes, was purified from a soluble fraction of a newly isolated marine Gram-negative bacterium designated strain α-15, which was identified as a Deleya sp. This GDH is composed of a single peptide with a molecular weight of 67 kDa by SDS-PAGE and gel filtration chromatography. It cannot oxidize the C-1 hydroxy group of glucose which is commonly oxidized by other known GDHs or glucose oxidase. Since this enzyme reacts with 1,5AG, a novel enzymatic method for 1,5AG determination was developed utilizing the fluorescent electron mediator, AlamarBlue®. A good linear correlation was observed from 2.5-200 μM of 1,5AG, which covers both the healthy subjects' and the diabetics' range in blood.; A novel glucose dehydrogenase (GDH) which reacts with 1,5-anhydro-D-glucitol (1,5AG), a clinical marker of diabetes, was purified from a soluble fraction of a newly isolated marine Gram-negative bacterium designated strain α-15, which was identified as a Deleya sp. This GDH is composed of a single peptide with a molecular weight of 67 kDa by SDS-PAGE and gel filtration chromatography. It cannot oxidize the C-1 hydroxy group of glucose which is commonly oxidized by other known GDHs or glucose oxidase. Since this enzyme reacts with 1,5AG, a novel enzymatic method for 1,5AG determination was developed utilizing the fluorescent electron mediator, AlamarBlueTM. A good linear correlation was observed from 2.5-200 μM of 1,5AG, which covers both the healthy subjects' and the diabetics' range in blood.",10.1016/S0141-0229(97)00194-4,article,SCOPUS,"Tsugawa, Wakako","Ogasawara, Nobuhiro","Sode, Koji",,,,,,,,,,,,,,,,,,,,,,,,,,,
Marine drugs,2015,A new member of the TBC1D15 family from Chiloscyllium plagiosum: Rab GTPase-activating protein based on Rab7 as a substrate,"APSL (active peptide from shark liver) is a hepatic stimulator cytokine from the liver of Chiloscyllium. It can effectively protect islet cells and improve complications in mice with alloxan-induced diabetes. Here, we demonstrate that the APSL sequence is present in the N-terminus of novel TBC (Tre-2, Bub2 and Cdc16) domain family, member 15 (TBC1D15) from Chiloscyllium plagiosum. This shark TBC1D15 gene, which contains an ORF of 2088 bp, was identified from a cDNA library of regenerating shark liver. Bioinformatic analysis showed that the gene is highly homologous to TBC1D15 genes from other species. Moreover, the N-terminus of shark TBC1D15 contains a motif of unknown function (DUF3548), which encompasses the APSL fragment. Rab-GAP activity analysis showed that shark TBC1D15 is a new member of the TBC1D15 family. These results demonstrated that shark TBC1D15 possesses Rab-GAP activity using Rab7 as a substrate, which is a common property of the TBC1D15 family. The involvement of APSL at the N-terminus of TBC1D15 also demonstrates that this protein might be involved in insulin signaling and may be associated with the development of type 2 diabetes. The current findings pave the way for further functional and clinical studies of these proteins from marine sources. © 2015 by the authors; licensee MDPI.",10.3390/md13052955,article,SCOPUS,"Li, Yuanyuan","Wang, Weidong","Cheng, Dandan","Wang, Tao","Lu, Conger","Chen, Jian","Nie, Zuoming","Zhang, Wenping","Lv, Zhengbing","Wu, Wutong","Shu, Jianhong",,,,,,,,,,,,,,,,,,,
Current protein and peptide science,2013,Marine peptides for preventing metabolic syndrome,"Recently, there has been a growing in alternative prevents and therapies of marine organisms for metabolic syndrome. Marine-derived bioactive peptides attracted extensive interest due to their numerous health beneficial effects including antioxidant, antihypertensive, anti-diabetes, anti-obesity. The bioactive peptides may provide novel therapeutic applications for the prevention of metabolic syndrome. The facts summarized here may provide improvement of metabolic syndrome by peptides from marine organisms. However, further insightful researches on the prevention of metabolic syndrome by marine peptides in in vivo and clinical studies are needed to firmly establish their therapeutic potency. © 2013 Bentham Science Publishers.",10.2174/13892037113149990038,article,SCOPUS,"Ko, Seok-Chun","Jeon, You-Jin",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian pacific journal of tropical disease,2015,Marine bioactive agents: A short review on new marine antidiabetic compounds,"From medicinal point of view, marine environment is a diversified source of several biologically active compounds that are relatively untapped. Exploitation of marine resources may provide valuable leads which carry economic and scientific potential. Diabetes is a metabolic disorder and a major cause of mortality and morbidity in both developed and developing countries. Several antidiabetics are available but the major limitations of these synthetic drugs are cost, effectiveness and adverse effects. The relative safety of drugs from natural source is the main reason behind exploring marine resources as a source of therapeutic, food and nutritional compounds. Marine resources provide many compounds including polyphenols, peptides, pigments, phlorotannins and sterols that could be used for the treatment of diabetes and associated complications. The present review focuses on potential marine resources that provide bioactive agents for diabetes treatment. © 2015 Asian Pacific Tropical Medicine Press.",10.1016/S2222-1808(15)60891-X,review,SCOPUS,"Barde, Sonal Ramrao","Sakhare, Ram Suresh","Kanthale, Sangameshwar Baburao","Chandak, Prakash Gopaldas","Jamkhande, Prasad Govindrao",,,,,,,,,,,,,,,,,,,,,,,,,
Acs central science,2016,Potent human alpha;-amylase inhibition by the β-defensin-like protein helianthamide,"Selective inhibitors of human pancreatic α-amylase (HPA) are an effective means of controlling blood sugar levels in the management of diabetes. A high-throughput screen of marine natural product extracts led to the identification of a potent (Ki = 10 pM) peptidic HPA inhibitor, helianthamide, from the Caribbean sea anemone Stichodactyla helianthus. Active helianthamide was produced in Escherichia coli via secretion as a barnase fusion protein. X-ray crystallographic analysis of the complex of helianthamide with porcine pancreatic α-amylase revealed that helianthamide adopts a β;-defensin fold and binds into and across the amylase active site, utilizing a contiguous YIYH inhibitory motif. Helianthamide represents the first of a novel class of glycosidase inhibitors and provides an unusual example of functional malleability of the β-defensin fold, which is rarely seen outside of its traditional role in antimicrobial peptides. © 2016 American Chemical Society.",10.1021/acscentsci.5b00399,article,SCOPUS,"Tysoe, Christina","Williams, Leslie K.","Keyzers, Robert","Nguyen, Nham T.","Tarling, Chris","Wicki, Jacqueline","Goddard-Borger, Ethan D.","Aguda, Adeleke H.","Perry, Suzanne","Foster, Leonard J.","Andersen, Raymond J.","Brayer, Gary D.","Withers, Stephen G.",,,,,,,,,,,,,,,,,
Patent,2009,Use of marine collagen peptide for preparing diabetes wound healing medicine and food,"NOVELTY - Marine collagen peptide is used for preparing diabetes wound healing medicine and food. USE - Marine collagen peptide used for preparing the diabetes wound healing medicine and food, in which the medicine includes powder, granule, capsule, tablet, pill, oral solution and external dressing, and the food can be starch product, milk and milk product, bean product and baked product (all claimed). ADVANTAGE - The marine collagen peptide has easy absorption, low viscosity and good water-solubility; can increase the diabetes wound healing degree, formation of granulation tissue, collagen deposition and vascularization, and promote the healing of diabetes wound.",CN102049037-A,patent,WoS,LI Y, WANG J, ZHANG Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patent,2015,"Reducing postprandial concentrations of glucose in subject's blood to treat pre-diabetes or diabetes, comprises administering a combination of marine peptide and a fish nucleotide prior to or during a meal","NOVELTY - Reducing (M1) postprandial concentrations of glucose in a subject's blood, comprises administering to the subject, a combination of a marine peptide and a fish nucleotide to reduce the glucose concentration in the subject's blood, where the combination is administered to the subject prior to or during a meal. USE - The methods are useful for: reducing postprandial concentrations of glucose in a subject's blood, where the subject is a human, and is in need of such reduction; increasing postprandial concentration of GLP-1 levels and reducing postprandial concentrations of ghrelin levels in a subject's blood; providing a feeling of satiety to a subject; for reducing the subject's insulin resistance; and treating pre-diabetes or diabetes, and obesity (all claimed). The ability of the combination to reduce postprandial concentrations of glucose was tested in a subject using biological assay. The result showed that subjects administered with the combination of marine peptide and marine nucleotides diet exhibited 19% reduction in postprandial blood glucose, as compared to subjects administered with marine peptide diet that exhibited 13% reduction in postprandial blood glucose. ADVANTAGE - The method utilizes the marine peptide in combination with marine nucleotides, hence lowers the inflammation and stimulates gastrointestinal function. DETAILED DESCRIPTION - INDEPENDENT CLAIMS are also included for:(1) increasing (M2) postprandial concentration of glucagon-like peptide (GLP)-1 levels in a subject's blood, comprising administering the marine peptide at 20 mg/Kg, to the subject, where the marine peptide is administered to the subject prior to or during a meal, and is administered in the substantial absence of the marine nucleotide;(2) reducing (M3) postprandial concentrations of ghrelin levels in a subject's blood, comprising administering the marine peptide to the subject, where the marine peptide is provided in the substantial absence of a marine nucleotide;(3) providing (M4) a feeling of satiety to a subject, comprising administering to the subject, 20-25 mg/Kg marine peptide, where the marine peptide is provided in the substantial absence of a marine nucleotide; and(4) a composition comprising a combination of isolated marine peptide and isolated fish nucleotides in a weight ratio of 10:1, where the combination is provided to reduce blood levels of glucose in a subject.",WO2016016350-A1; CN106573034-A; IN201737001020-A; EP3174548-A1; JP2017523203-W; US2017258866-A1; MX2017000878-A1; BR112017001589-A2; US10213473-B2; RU2713935-C1; EP3174548-B1; JP6829186-B2; ES2815351-T3; CN106573034-B,patent,WoS,BJORGE O, LIED E, BJA R O, LEDER E,,,,,,,,,,,,,,,,,,,,,,,,,,
Patent,2012,"Nutritional health food formula of black bean, for preventing and treating diabetes mellitus, comprises black bean powder, marine collagen peptide, Ganoderma lucidum spore powder and mulberry leaf extract","NOVELTY - A nutritional health food formula of black bean, comprises: black bean powder, marine collagen peptide, Ganoderma lucidumspore powder and mulberry leaf extract made via a water-decocting and alcohol-precipitating method. USE - In preparing functional food for preventing and treating diabetes mellitus (such as type II diabetes mellitus) through adjuvant therapy (claimed). ADVANTAGE - The nutritional health food formula is capable of achieving the purpose of properly adjusting dietary structure, reduces fat intake and prevents or helps treat diabetes mellitus, and has significant effect of adjuvant therapy for type II diabetes mellitus.",CN102578499-A; CN102578499-B,patent,WoS,QI B, WU L, ZHANG C, ZHANG L,,,,,,,,,,,,,,,,,,,,,,,,,,
Patent,2013,"Enteral nutritional formulation useful in medicine or food for preventing gestational diabetes in women, comprises marine animal protein or soy peptide, polysaccharide, turtle enzymolyzed powder and plant oil","NOVELTY - Enteral nutritional formulation comprises marine animal protein or soy peptide, polysaccharide, turtle enzymolyzed powder and plant oil. USE - The enteral nutritional formulation is useful in medicine or food for preventing gestational diabetes in women and reducing blood sugar (claimed), enhancing immunity. ADVANTAGE - The enteral nutritional formulation has balanced nutrient content. DETAILED DESCRIPTION - An INDEPENDENT CLAIM is included for method for preparing the enteral nutritional formulation which involves mixing and sieving the raw materials using 100 meshes, sterilizing the mixture, adding water to the sterilized mixture, adding emulsifier and plant oil to the obtained mixture, and uniformly mixing the obtained product.",CN103584083-A; CN103584083-B,patent,WoS,SUN H, CAI B, PAN J, CHEN H, WAN P,,,,,,,,,,,,,,,,,,,,,,,,,
Patent,2015,"Powder for treating diabetes comprises marine fish collagen peptide, Chitooligosaccharides, salt algae powder, selenium-enriched rice flour, mountain powder, Arabinose, Polydextrose, Sucralose, food flavors and citric acid","NOVELTY - Powder comprises 35-45 pts. wt. marine fish collagen peptide, 2-3 pts. wt. Chitooligosaccharides, 2-3 pts. wt. Salt algae powder, 1-3 pts. wt. selenium-enriched rice flour, 9-11 pts. wt. mountain powder, 1-3 pts. wt. Arabinose, 19-21 pts. wt. Polydextrose, 0.5-1.5 pts. wt. Sucralose, 0.5-1.5 pts. wt. food flavors and 0.5-1.5 pts. wt. citric acid. USE - Powder for treating diabetes (claimed). ADVANTAGE - The powder has good treatment and health care effect. DETAILED DESCRIPTION - An INDEPENDENT CLAIM is included for a method for preparing powder, which involves pulverizing raw materials for 15 minutes, mixing in a mixer for 30 minutes, drying for 30 minutes and then packaging.",CN104770642-A,patent,WoS,DING Z, FANG X, LIU Z, SHI J, SUN D, YU T, ZHU M, ZHANG C, ZHANG X, HU S,,,,,,,,,,,,,,,,,,,,
Patent,2018,"Gestational diabetes patient food used for reducing blood glucose comprises bagasse or resistant dextrin, prebiotics, drug and diet dual-purpose extract, wheat or rice flour, linseed, peptide, fatty powder, yeast, vitamin premix, and premix","NOVELTY - Gestational diabetes patient food comprises 30-60 wt.% bagasse or resistant dextrin, 10-45 wt.% prebiotics (isomaltooligosaccharide, stachyose, fructooligosaccharides, soybean oligosaccharide, xylooligosaccharide, inulin), 15-25 wt.% drug and diet dual-purpose extract (10-45 wt.% sealwort, 10-45 wt.% Polygonatum odoratum, 10-45 wt.% Chinese yam, 10-45 wt.% tuckahoe, 10-45 wt.% jujube, 10-45 wt.% medlar) as main raw materials, 10-39 wt.% wheat or rice flour, 2-30 wt.% linseed, 2-20 wt.% peptide (marine fish oligopeptide, marine bone original small peptide, soybean protein peptide, whey protein peptide, ovalbumin peptide, wheat oligopeptide), 1-6 wt.% fatty powder (medium chain triglyceride (MCT) powder, alpha -linolenic acid, linoleic acid, linseed oil, germ oil), 1-6 wt.% yeast as auxiliary material, 0.5-2 wt.% vitamin premix, and 0.5-2 wt.% mineral premix. USE - Gestational diabetes patient food used for reducing blood glucose of gestational diabetes patient. ADVANTAGE - The gestational diabetes patient food ensures stable blood glucose of gestational diabetes mellitus patient after meal by biological slow-release technology, avoids the harm of hypoglycemia, supplements the basic nutrients, improves nutritional imbalance or excess, and protects the liver and kidney, and controls the blood sugar without affecting the normal flora of the intestinal tract. DETAILED DESCRIPTION - Gestational diabetes patient food comprises 30-60 wt.% bagasse or resistant dextrin, 10-45 wt.% prebiotics (isomaltooligosaccharide, stachyose, fructooligosaccharides, soybean oligosaccharide, xylooligosaccharide, inulin), 15-25 wt.% drug and diet dual-purpose extract (10-45 wt.% sealwort, 10-45 wt.% Polygonatum odoratum, 10-45 wt.% Chinese yam, 10-45 wt.% tuckahoe, 10-45 wt.% jujube, 10-45 wt.% medlar) as main raw materials, 10-39 wt.% wheat or rice flour, 2-30 wt.% linseed, 2-20 wt.% peptide (marine fish oligopeptide, marine bone original small peptide, soybean protein peptide, whey protein peptide, ovalbumin peptide, wheat oligopeptide), 1-6 wt.% fatty powder (MCT powder, alpha -linolenic acid, linoleic acid, linseed oil, germ oil), 1-6 wt.% yeast as auxiliary material, 0.5-2 wt.% vitamin premix (vitamin A, vitamin D, vitamin E, vitamin K1, vitamin C, vitamin B1, vitamin B2, vitamin B6, vitamin B12, niacin, folic acid, pantothenic acid, choline and biotin), and 0.5-2 wt.% mineral premix (calcium, phosphorus, potassium, sodium, magnesium, iron, zinc, selenium, copper, manganese, iodine, fluorine, chromium, molybdenum). It is prepared by adding rhizoma polygonati, P. odoratum, Chinese yam, tuckahoe, spina date seed, and medlar with water, soaking for 60-100 minutes, adding cellulase, pectinase, pawpaw protease and amylase at 1 mg/g substrate, where pH is 4.0-5.0, conducting enzymolysis at 50-80 degrees C for 1-3 hours, where ratio of material to liquid is 1:15, extracting traditional Chinese medicine essence, spray drying, obtaining powder mixture, adding biological enzyme-extracted prebiotics, bagasse or resistant dextrin, wheat or rice flour, linseed, peptide, fatty powder, and yeast, mixing for 20-40 minutes at 30-45 revolutions/minute (rpm), adding vitamin premix and mineral premix, mixing at 12-15 rpm for 20-40 minutes, and pasteurizing for 1 hour.",CN109043553-A,patent,WoS,ZENG Q, HU A, MA F, GE S, SUN J,,,,,,,,,,,,,,,,,,,,,,,,,
Patent,2015,"Preparing a peptide formulation for treating diabetes, involves taking quantitative oyster powder and sea cucumber powder, and mixing a predetermined proportion of medicinal and edible ingredient powder, and performing enzymatic hydrolysis","NOVELTY - Preparing a peptide formulation involves taking quantitative oyster powder and sea cucumber powder, and mixing a predetermined proportion of the medicinal and edible ingredient powder. The deionized water is added in the mixture, which is heated in water bath, and then homogenized to obtain homogenate. The pH of homogenate is adjusted to 7-10. The enzymatic hydrolysis is performed at 40-60 degrees C for 2-4 hours by adding Protease I. The temperature and pH of the reaction system is maintained. The hydrolysis is performed by adding Protease II for 2-4 hours. USE - Method for preparing peptide formulation for treating diabetes (all claimed). ADVANTAGE - The method enables to prepare peptide formulation that has health care effect and hepatoprotective activity, improves the degree of hydrolysis and reduces defects in biological activity by performing dual enzymatic hydrolysis, and enhances the quality of the product. DETAILED DESCRIPTION - Preparing a peptide formulation involves taking quantitative oyster powder and sea cucumber powder, and mixing a predetermined proportion of the medicinal and edible ingredient powder. The deionized water is added in the mixture, which is heated in water bath, and then homogenized to obtain homogenate. The pH of homogenate is adjusted to 7-10. The enzymatic hydrolysis is performed at 40-60 degrees C for 2-4 hours by adding Protease I. The temperature and pH of the reaction system is maintained. The hydrolysis is performed by adding Protease II for 2-4 hours. The reaction is terminated to obtain a protein hydrolyzate. The temperature of protein hydrolyzate is raised to 75-95 degrees C for 15-30 minutes. The solution is centrifuged to obtain supernatant. The obtained supernatant is mixed with 95% ethanol to obtain 60-80 vol.% solution which is centrifuged to obtain supernatant that is kept at 4 degrees C for 10-15 hours. The pH of supernatant is adjusted to 6-8, and supernatant is passed through cutoff ultrafiltration membrane having 3000-10000Da molecular weight. The obtained ultrafiltrate is collected to give marine biological health care peptide.",CN105296584-A,patent,WoS,JIANG N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patent,2012,"Marine biology type enteral nutrient preparation used in treating diabetes, comprises e.g. seaweed polysaccharide, microalgae, spirulina powder, taurine, medium chain triglyceride, konjac dietary fiber, fruit-vegetable powder, wheat bran","NOVELTY - A marine biology type enteral nutrient preparation, comprises (parts): seaweed polysaccharide (3-15), marine edible animal protein peptide (1-5), microalgae (3-5), spirulina powder (0.3-2), taurine (0.1-1), Momordica charantia polysaccharide or pumpkin polysaccharide (40-50), soybean separating protein powder (10-15), medium chain triglyceride (7-10), konjac dietary fiber (3-8), fruit-vegetable powder (1-5), wheat bran (0.1-0.5), alpha-lipoic acid (0.1-0.5), and trace amounts of trace element additives. USE - For treating diabetes (claimed). ADVANTAGE - The marine biology type enteral nutrient preparation effectively reduces the blood sugar level in patients; is reasonable with unique pharmacological properties; fulfills the nutritional and metabolic demands of the diabetic patient; provides balanced nutrition for diabetes and pre-diabetes, and effectively reverses malnutrition; and is helpful to improve life quality of diabetes patient and promote rehabilitation. DETAILED DESCRIPTION - An INDEPENDENT CLAIM is included for preparing the marine biology type enteral nutrient preparation, involving uniformly mixing each component of preparation, crushing to grain size of less than 125 microns, and subjecting to irradiation and sterilizing to obtain the marine biology type enteral nutrient preparation for diabetes.",CN102613453-A; CN102613453-B,patent,WoS,CAI B, CHEN D, LONG L, PAN J, SUN H, SUN X, WAN P,,,,,,,,,,,,,,,,,,,,,,,
